,brand,name,price,Dòng xe:,Năm sản xuất:,Số km đã đi:,Động cơ:,Hộp số:,Xuất xứ:,Màu sắc:
0,Mercedes-Benz, Mercedes - Benz class,55 triệu,Mercedes-Benz C-class,Trước 1980,0,Xăng ,Số sàn,Nhập khẩu,Ghi xám
1,Mercedes-Benz, Mercedes - Benz class,55 triệu,Mercedes-Benz C-class,Trước 1980,0,Xăng ,Số sàn,Nhập khẩu,Ghi xám
2,KIA, New sorento 2.2AT 2014,810 triệu,KIA Sorento,2014,49.000 km,Xăng 2.2L,Tự động,Lắp ráp trong nước,Bạc
3,Mercedes-Benz, Mercedes - Benz S400 3.0AT 2016,"3,790 tỷ",Mercedes-Benz S-class,2016,20.000 km,Xăng 3.0L,Tự động,Lắp ráp trong nước,Đen
4,Lexus, RX350 3.5AT 2011,"2,190 tỷ",Lexus RX,2011,30.000 km,Xăng 3.5L,Tự động,Nhập khẩu,Trắng
5,Mazda, 2s 1.5AT 2012,458 triệu,Mazda 2,2012,41.000 km,Xăng 1.5L,Tự động,Lắp ráp trong nước,Đỏ
6,KIA, morning 1.0AT 2011,378 triệu,Kia Morning,2011,33.000 km,Xăng 1.0L,Tự động,Nhập khẩu,Ghi xám
7,Mercedes-Benz, MERCEDES-BENZ GLA 45 AMG 2.0AT 2016,"2,050 tỷ",Mercedes-Benz GLA-Class,2016,6.000 km,Xăng 2.0L,Tự động,Nhập khẩu,Trắng
8,Chevrolet, Captiva 2.4AT 2007,315 triệu,Chevrolet Captiva,2007,11.000 km,Xăng 2.4L,Tự động,Lắp ráp trong nước,Đen
9,Ford, Ranger XLS 2.2MT 2014,490 triệu,Ford Ranger,2014,22.000 km,Diesel 2.2L,Số sàn,Nhập khẩu,Bạc
10,KIA, Forte 1.6MT 2012,446 triệu,Kia Forte, 2012,6.000 km,Xăng 1.6L,Số sàn,Lắp ráp trong nước,Vàng cát
11,Lexus, RX 3.3AT 2004,710 triệu,Lexus RX, 2004,120.000 km,Xăng 3.3L,Tự động,Nhập khẩu,Vàng cát
12,KIA, Rio 1.4AT 2015,580 triệu,KIA Rio,2015,10.000 km,Xăng 1.4L,Tự động,Nhập khẩu,Đỏ
13,Toyota, Altis 1.8MT 2003,295 triệu,Toyota Altis,2003,220.000 km,Xăng 1.8L,Số sàn,Lắp ráp trong nước,Đen
14,KIA, Forte 1.6AT 2011,425 triệu,Kia Forte,2011,60.000 km,Xăng ,Tự động,Lắp ráp trong nước,Ghi xám
15,Audi, Q3 2.0AT 2012,"1,300 tỷ",Audi Q3,2012,32.000 km,Xăng 2.0L,Tự động,Nhập khẩu,Trắng
16,Nissan, X-trail 2.0 2WD 2018,878 triệu,Nissan X-Trail,2018,0,Xăng 2.0L,Vô cấp,Nhập khẩu,Bạc
17,Ford, Everest 2.5MT 2009,518 triệu,Ford Everest,2009,75.000 km,Diesel 2.5L,Số sàn,Lắp ráp trong nước,Hồng phấn
18,Hyundai, Starex 2.4MT 2006,310 triệu,Hyundai Starex, 2006,120.000 km,Diesel 2.4L,Số sàn,Nhập khẩu,Bạc
19,Hyundai, Sonata 2.0AT 2009,400 triệu,Hyundai Sonata,2009,60.000 km,Xăng 2.0L,Tự động,Nhập khẩu,Ghi xám
20,Ford, Fiesta 1.5AT 2014,440 triệu,Ford Fiesta,2014,20.000 km,Xăng 1.5L,Tự động,Lắp ráp trong nước,Nâu
21,Land Rover, Range Rover Sport 3.0AT 2015,"4,850 tỷ",Land Rover All New Range Rover Sport,2015,3.000 km,Xăng 3.0L,Tự động,Nhập khẩu,Trắng
22,Mitsubishi, Triton 2.5MT 2007,268 triệu,Mitsubishi Triton,2007,20.000 km,Diesel 2.5L,Số sàn,Lắp ráp trong nước,Bạc
23,Daewoo, Gentra 1.5MT 2009,240 triệu,,2009,80.000 km,Xăng 1.5L,Số sàn,Lắp ráp trong nước,Đen
24,Toyota,  Innova 2.0AT 2009,488 triệu,Toyota Innova,2009,80.000 km,Xăng 2.0L,Tự động,Lắp ráp trong nước,Bạc
25,Nissan, Teana 2.0AT 2009	,545 triệu,Nissan Teana,2009	,70.000 km,Xăng  2.0L,Tự động,Nhập khẩu,Trắng
26,Mazda, 3S 1.6AT 2013,560 triệu,Mazda 3, 2013,70.000 km,Xăng 1.6L,Tự động,Lắp ráp trong nước,Trắng
27,Lexus, RX350 3.5AT 2017,"4,000 tỷ",Lexus RX, 2017,90.000 km,Xăng 3.5L,Tự động,Nhập khẩu,Vàng
28,KIA, Carens 2.0AT 2011,399 triệu,KIA Carens,2011,60.000 km,Xăng 2.0L,Tự động,Lắp ráp trong nước,Đen
29,Toyota, Camry 3.2AT 2008,750 triệu,Toyota Camry,2008,80.000 km,Xăng 3.2L,Tự động,Lắp ráp trong nước,Vàng cát
30,Hyundai, Starex 2.4MT 2013,698 triệu,Hyundai Starex,2013,49.000 km,Xăng 2.4L,Số sàn,Lắp ráp trong nước,Vàng cát
31,Toyota, Innova 2.0MT 2008,486 triệu,Toyota Innova,2008,90.000 km,Xăng 2.0L,Số sàn,Lắp ráp trong nước,Vàng cát
32,Hyundai, Avante 1.6AT 2012,458 triệu,Hyundai Avante,2012,40.000 km,Xăng 1.6L,Tự động,Lắp ráp trong nước,Đen
33,Chevrolet, Orlando 1.8MT 2012,455 triệu,Chevrolet Orlando,2012,20.000 km,Xăng 1.8L,Số sàn,Nhập khẩu,Vàng cát
34,Ford, Mondeo 2.0AT 2003,175 triệu,Ford Mondeo,2003,200.000 km,Xăng 2.0L,Tự động,Lắp ráp trong nước,Đen
35,Mercedes-Benz, GL450 3.0AT 2011,"1,790 tỷ",Mercedes-Benz GL-class,2011,32.000 km,Xăng 3.0L,Tự động,Nhập khẩu,Đen
36,Mazda, 2 1.5AT 2016,525 triệu,Mazda 2,2016,5.000 km,Xăng 1.5L,Tự động,Lắp ráp trong nước,Xanh Đen
37,Ford, Fiesta 1.0AT 2014,440 triệu,Ford Fiesta,2014,20.000 km,Xăng 1.0L,Tự động,Lắp ráp trong nước,Nâu
38,Ford, Fiesta 1.0AT 2016,600 triệu,Ford Fiesta,2016,4.000 km,Xăng 1.0L,Tự động,Lắp ráp trong nước,Bạc
39,Mercedes-Benz,  S400 3.0AT 2015,"3,450 tỷ",Mercedes-Benz S-class,2015,16.000 km,Xăng 3.0L,Tự động,Nhập khẩu,Đen
40,Mercedes-Benz, GLA 45 AMG 2.0AT 2016,"2,050 tỷ",Mercedes-Benz GLA-Class,2016,6.000 km,Xăng 2.0L,Tự động,Nhập khẩu,Trắng
41,Mercedes-Benz, Mercedes GLK250 AMG 2.0AT 2014,"1,550 tỷ",Mercedes-Benz GLK-class,2014,15.000 km,Xăng 2.0L,Tự động,Nhập khẩu,Trắng
42,Suzuki, Vitara 1.6AT 2016,760 triệu,Suzuki Vitara,2016,6.000 km,Xăng 1.6L,Tự động,Nhập khẩu,Màu Kem
43,Nissan, Teana 2.0AT 2010,610 triệu,Nissan Teana,2010,60.000 km,Xăng 2.0L,Tự động,Nhập khẩu,Đen
44,KIA, Forte Koup 1.6AT 2010,485 triệu,Kia Forte,2010,60.000 km,Xăng 1.6L,Tự động,Nhập khẩu,Đỏ
45,KIA, Morning 1.0AT 2011,378 triệu,Kia Morning,2011,36.000 km,Xăng 1.0L,Tự động,Nhập khẩu,Màu Kem
