,name,brand,model,type,source_url,origin,km_driven,external_color,seats,fuels,transmission,price,year
0,Kia Sportage 2022 Line Premium Signature,Kia,Sportage,NONE,https://xetot.com/ho-chi-minh/ban-xe/kia-sportage-2022-line-premium-signature/10997,imported,1000,Trắng,5,gasoline,automatic,299000000,2022
1,Ford Transit 2023 giảm giá tiền mặt tặng full phụ kiện trả trước 165tr,Ford,Transit,NONE,https://xetot.com/binh-duong/ban-xe/ford-transit-2023-giam-gia-tien-mat-tang-full-phu-kien-tra-truoc-165tr/13115,imported,0,Khác,16,diesel,manual,819000000,2023
2,Ford Transit 2023 giảm giá tiền mặt tặng full phụ kiện trả trước 165tr,Ford,Transit,NONE,https://xetot.com/binh-duong/ban-xe/ford-transit-2023-giam-gia-tien-mat-tang-full-phu-kien-tra-truoc-165tr/13114,imported,0,Khác,16,diesel,manual,819000000,2023
3,Ford Transit 2023 giảm giá tiền mặt tặng full phụ kiện trả trước 165tr,Ford,Transit,NONE,https://xetot.com/binh-duong/ban-xe/ford-transit-2023-giam-gia-tien-mat-tang-full-phu-kien-tra-truoc-165tr/13112,imported,0,Khác,16,diesel,manual,819000000,2023
4,Ford Transit 2023 giảm tiền mặt tặng full phụ kiện trả trước 165tr,Ford,Transit,NONE,https://xetot.com/binh-duong/ban-xe/ford-transit-2023-giam-tien-mat-tang-full-phu-kien-tra-truoc-165tr/13110,imported,0,Khác,16,diesel,manual,819000000,2023
5,"Ford Transit 2023 giảm tiền mặt tặng full phụ kiện,trả trước 165tr",Ford,Transit,NONE,https://xetot.com/binh-phuoc/ban-xe/ford-transit-2023-giam-tien-mat-tang-full-phu-kien-tra-truoc-165tr/13109,imported,0,Khác,16,diesel,manual,819000000,2023
6,"Ford Transit 2023 giảm tiền mặt tặng full phụ kiện,trả trước 165tr",Ford,Transit,NONE,https://xetot.com/ho-chi-minh/ban-xe/ford-transit-2023-giam-tien-mat-tang-full-phu-kien-tra-truoc-165tr/13108,imported,0,Khác,16,diesel,manual,819000000,2023
7,Cần Bán Huyndai i10 sản xuất 2017,Hyundai,i10,sedan,https://xetot.com/ho-chi-minh/ban-xe/can-ban-huyndai-i10-san-xuat-2017/13064,imported,58000,Trắng,5,gasoline,automatic,310000000,2017
8,Mazda 3 facelift 2018 Odo 46000km,Mazda,3,sedan,https://xetot.com/ho-chi-minh/ban-xe/mazda-3-facelift-2018-odo-46000km/13060,imported,46000,Trắng,5,gasoline,automatic,460000000,2018
9,Chính Chủ Cần Bán Xe Mitsubisi Triton 4X2 At Ở Ba Vì Hà Nội,Mitsubishi,Triton,pickup,https://xetot.com/ha-noi/ban-xe/chinh-chu-can-ban-xe-mitsubisi-triton-4x2-at-o-ba-vi-ha-noi/13084,imported,85000,Nâu,5,diesel,automatic,470000000,2018
10,Lexus LX570 sản xuất 2015 nhập Mỹ,Lexus,LX,suv,https://xetot.com/ha-noi/ban-xe/lexus-lx570-san-xuat-2015-nhap-my/13082,imported,50000,Vàng,8,gasoline,automatic,3790,2015
11,Hyundai Tucson 2016 bản full nhập Hàn Quốc,Hyundai,Tucson,suv,https://xetot.com/ha-noi/ban-xe/hyundai-tucson-2016-ban-full-nhap-han-quoc/12994,imported,65000,Đen,5,gasoline,automatic,599000000,2016
12,Range Rover Autobiography LWB 30 sản xuất 2021,Land Rover,Range Rover,suv,https://xetot.com/ha-noi/ban-xe/range-rover-autobiography-lwb-30-san-xuat-2021/12936,imported,15000,Trắng,5,gasoline,automatic,8999999000,2021
